city,state,category_family,status,fallback_org,fallback_url,evidence_url,rights,http_status,reason,check_date,claim
Springfield,MO,telescope_science,HOLD,Springfield-Greene County Library District,https://www.thelibrary.org/,https://programs.thelibrary.org/event/15402898,LINK_ONLY,,Star-party programming confirmed on library event pages; no official checkout page retrieved this pass. Secondary social mention is not acceptance evidence.,2026-09-12,source_finder_only_unknown_remains_unknown
Springfield,MO,tools_home_repair,FALLBACK,Springfield-Greene County Library District,https://www.thelibrary.org/,https://www.thelibrary.org/,LINK_ONLY,200,No official tool-library program page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Springfield,MO,maker_technology,ACCEPTED_CANDIDATE,Springfield-Greene County Library District,https://www.thelibrary.org/,https://www.thelibrary.org/maker-space,LINK_ONLY,200,Official Maker Space page retrieved. In-library equipment access is not evidence a selected object is present to borrow at query time.,2026-09-12,source_finder_only_unknown_remains_unknown
Springfield,MO,music_hobby,FALLBACK,Springfield-Greene County Library District,https://www.thelibrary.org/,https://www.thelibrary.org/,LINK_ONLY,200,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Springfield,MO,outdoor_recreation,FALLBACK,Springfield-Greene County Library District,https://www.thelibrary.org/,https://www.thelibrary.org/,LINK_ONLY,200,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Ozark,MO,telescope_science,HOLD,Christian County Library,https://www.christiancountylibrary.org/,https://www.christiancountylibrary.org/things/,REVIEW_HOLD,timeout,Public Library of Things page lists telescopes in third-party/search snippets; SSL handshake timed out this pass. Do not copy inventory.,2026-09-12,source_finder_only_unknown_remains_unknown
Ozark,MO,tools_home_repair,HOLD,Christian County Library,https://www.christiancountylibrary.org/,https://www.christiancountylibrary.org/things/,REVIEW_HOLD,timeout,Same Library of Things page not retrieved this pass.,2026-09-12,source_finder_only_unknown_remains_unknown
Ozark,MO,maker_technology,FALLBACK,Christian County Library,https://www.christiancountylibrary.org/,https://www.christiancountylibrary.org/,REVIEW_HOLD,,No official makerspace page retrieved this pass.,2026-09-12,source_finder_only_unknown_remains_unknown
Ozark,MO,music_hobby,HOLD,Christian County Library,https://www.christiancountylibrary.org/,https://www.christiancountylibrary.org/things/,REVIEW_HOLD,timeout,Library of Things page reportedly lists musical instruments; not retrieved this pass.,2026-09-12,source_finder_only_unknown_remains_unknown
Ozark,MO,outdoor_recreation,HOLD,Christian County Library,https://www.christiancountylibrary.org/,https://www.christiancountylibrary.org/things/,REVIEW_HOLD,timeout,Library of Things page reportedly lists fishing poles; not retrieved this pass.,2026-09-12,source_finder_only_unknown_remains_unknown
Branson,MO,telescope_science,FALLBACK,Library Center of the Ozarks,https://lcozarks.org/about/,https://lcozarks.org/about/,LINK_ONLY,,No official specialized borrowing page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Branson,MO,tools_home_repair,FALLBACK,Library Center of the Ozarks,https://lcozarks.org/about/,https://lcozarks.org/about/,LINK_ONLY,,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Branson,MO,maker_technology,FALLBACK,Library Center of the Ozarks,https://lcozarks.org/about/,https://lcozarks.org/about/,LINK_ONLY,,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Branson,MO,music_hobby,FALLBACK,Library Center of the Ozarks,https://lcozarks.org/about/,https://lcozarks.org/about/,LINK_ONLY,,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Branson,MO,outdoor_recreation,FALLBACK,Library Center of the Ozarks,https://lcozarks.org/about/,https://lcozarks.org/about/,LINK_ONLY,,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Fayetteville,AR,telescope_science,CANDIDATE,Fayetteville Public Library,https://faylib.org/,https://www.nwa.space/outreach-1,LINK_ONLY,200,NWA Space lists Fayetteville Public Library in regional telescope lending; library-owned checkout page not independently retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Fayetteville,AR,tools_home_repair,CANDIDATE,Fayetteville Public Library,https://faylib.org/,https://faylib.org/13661,LINK_ONLY,200,Official Fabrication Lab includes tools for in-library use after training; not a circulating tool library.,2026-09-12,source_finder_only_unknown_remains_unknown
Fayetteville,AR,maker_technology,ACCEPTED_CANDIDATE,Fayetteville Public Library,https://faylib.org/,https://faylib.org/13661,LINK_ONLY,200,Official Fabrication & Robotics Lab page retrieved. Access rules remain on the source page.,2026-09-12,source_finder_only_unknown_remains_unknown
Fayetteville,AR,music_hobby,HOLD,Fayetteville Public Library,https://faylib.org/,https://www.nwaonline.com/news/2023/nov/16/hembrees-establish-free-instrument-lending/,REVIEW_HOLD,,Folk School of Fayetteville instrument library is not a public-library program; reuse and eligibility unclear.,2026-09-12,source_finder_only_unknown_remains_unknown
Fayetteville,AR,outdoor_recreation,FALLBACK,Fayetteville Public Library,https://faylib.org/,https://faylib.org/,LINK_ONLY,200,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Bentonville,AR,telescope_science,ACCEPTED_CANDIDATE,Bentonville Public Library,https://bentonvillelibrary.org/,https://bentonvillelibrary.org/browse/library-of-things,LINK_ONLY,200,Official Library of Things page retrieved and names Telescope as a checkout category. Inventory currency is unknown.,2026-09-12,source_finder_only_unknown_remains_unknown
Bentonville,AR,tools_home_repair,ACCEPTED_CANDIDATE,Bentonville Public Library,https://bentonvillelibrary.org/,https://bentonvillelibrary.org/browse/library-of-things,LINK_ONLY,200,Official Library of Things page retrieved and names DIY Tools.,2026-09-12,source_finder_only_unknown_remains_unknown
Bentonville,AR,maker_technology,ACCEPTED_CANDIDATE,Bentonville Public Library,https://bentonvillelibrary.org/,https://bentonvillelibrary.org/bpl-for-makers/bpl-makerspace,LINK_ONLY,200,Official BPL Makerspace page retrieved (HTTP 200).,2026-09-12,source_finder_only_unknown_remains_unknown
Bentonville,AR,music_hobby,CANDIDATE,Bentonville Public Library,https://bentonvillelibrary.org/,https://bentonvillelibrary.org/browse/library-of-things,LINK_ONLY,200,Library of Things exists; instrument-specific listing not isolated in the retrieved snippet.,2026-09-12,source_finder_only_unknown_remains_unknown
Bentonville,AR,outdoor_recreation,CANDIDATE,Bentonville Public Library,https://bentonvillelibrary.org/,https://bentonvillelibrary.org/browse/library-of-things,LINK_ONLY,200,Library of Things page names Metal Detector; recreation lending not separately documented.,2026-09-12,source_finder_only_unknown_remains_unknown
Eureka Springs,AR,telescope_science,CANDIDATE,Eureka Springs Carnegie Public Library / Carroll and Madison Library System,https://library.arkansas.gov/facilities/eureka-springs-carnegie-library/,https://www.nwa.space/outreach-1,LINK_ONLY,200,NWA Space lists Eureka Springs Public Library in regional telescope lending. librarytelescope.org is a third-party directory (do not copy listings).,2026-09-12,source_finder_only_unknown_remains_unknown
Eureka Springs,AR,tools_home_repair,FALLBACK,Eureka Springs Carnegie Public Library / Carroll and Madison Library System,https://library.arkansas.gov/facilities/eureka-springs-carnegie-library/,https://library.arkansas.gov/facilities/eureka-springs-carnegie-library/,PUBLIC_USE,,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Eureka Springs,AR,maker_technology,FALLBACK,Eureka Springs Carnegie Public Library / Carroll and Madison Library System,https://library.arkansas.gov/facilities/eureka-springs-carnegie-library/,https://library.arkansas.gov/facilities/eureka-springs-carnegie-library/,PUBLIC_USE,,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
