state,state_name,rank_in_state,geo_id,place_name,place_fips,pop_acs2024_5yr_b01003,ranking_universe,vintage2025_sanity,test_zcta,test_zcta_distance_km,place_intpt_lat,place_intpt_lon,zcta_method,zcta_flag,nearest_outlet_fscskey,nearest_outlet_name,nearest_outlet_km,destination_url,destination_class,destination_handoff,destination_provenance,destination_rights,destination_check_date
DC,District of Columbia,1,1600000US1150000,"Washington city, District of Columbia",50000,681294,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,20001,0.687,38.904243,-77.016524,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,DC0001,NORTHWEST ONE NEIGHBORHOOD LIBRARY,0.257,https://www.dclibrary.org/,DIRECT_LIBRARY_SYSTEM,direct,DC Public Library official site (single-jurisdiction system).,PUBLIC_USE,2026-09-12
AK,Alaska,1,1600000US0203000,"Anchorage municipality, Alaska",03000,288976,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,99577,0.0,61.17425,-149.284329,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AK0002,CHUGIAK-EAGLE RIVER LIBRARY,23.075,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,Alaska State Library official homepage.,PUBLIC_USE,2026-09-12
AK,Alaska,2,1600000US0224230,"Fairbanks city, Alaska",24230,32083,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,99703,1.814,64.838559,-147.651483,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AK0023,BOOKMOBILE,4.099,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,Alaska State Library official homepage.,PUBLIC_USE,2026-09-12
AK,Alaska,3,1600000US0236400,"Juneau city and borough, Alaska",36400,31794,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,99801,0.0,58.372904,-134.178438,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AK0035,DOWNTOWN PUBLIC LIBRARY,15.548,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,Alaska State Library official homepage.,PUBLIC_USE,2026-09-12
AL,Alabama,1,1600000US0137000,"Huntsville city, Alabama",37000,222791,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,35805,5.292,34.68874,-86.675075,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AL0166,HUNTSVILLE PUBLIC - MADISON BRANCH LIBRARY,6.755,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
AL,Alabama,2,1600000US0150000,"Mobile city, Alabama",50000,203416,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,36606,0.199,30.668246,-88.107853,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AL0186,MOBILE PUBLIC - MOORER/SPRING HILL BRANCH,4.598,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
AL,Alabama,3,1600000US0107000,"Birmingham city, Alabama",07000,198173,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,35203,1.554,33.527174,-86.797036,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AL0107,BOOKMOBILE,1.291,https://www.imls.gov/search-compare,IMLS_SEARCH_COMPARE_IDENTITY,indirect,Official IMLS Library Search & Compare tool. FY2024 PUD has no website field. User searches FSCS ID/name. Linked source remains final authority.,PUBLIC_USE,2026-09-12
AR,Arkansas,1,1600000US0541000,"Little Rock city, Arkansas",41000,203436,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,72204,0.656,34.723218,-92.356264,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AR0001,SIDNEY SANDERS MCMATH,1.935,https://library.arkansas.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,"Arkansas State Library official homepage. Indirect home handoff, not a facility-directory URL.",PUBLIC_USE,2026-09-12
AR,Arkansas,2,1600000US0523290,"Fayetteville city, Arkansas",23290,99319,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,72730,10.242,36.071451,-94.166679,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AR0066,FAYETTEVILLE PUBLIC LIBRARY,1.066,https://faylib.org/,DIRECT_LIBRARY_SYSTEM,direct,Official library/system page retrieved this research packet; not inferred from the name.,LINK_ONLY,2026-09-12
AR,Arkansas,3,1600000US0524550,"Fort Smith city, Arkansas",24550,89805,ACS_2024_5YR_B01003_PLACE_SUMLEV160,NAME_OVERLAP_TOP3_INCORPORATED,72903,1.117,35.349276,-94.370883,nearest_2026_gazetteer_zcta_to_place_internal_point,OK,AR0011,DALLAS STREET BRANCH LIBRARY,2.647,https://library.arkansas.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,"Arkansas State Library official homepage. Indirect home handoff, not a facility-directory URL.",PUBLIC_USE,2026-09-12
