route_id,fscskey,libname,city,state,zip,destination_url,destination_class,destination_handoff,destination_rights,destination_check_date
AK0001,AK0001,ANCHOR POINT PUBLIC LIBRARY,ANCHOR POINT,AK,99556,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0002,AK0002,ANCHORAGE PUBLIC LIBRARY,ANCHORAGE,AK,99503,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0006,AK0006,KUSKOKWIM CONSORTIUM LIBRARY,BETHEL,AK,99559,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0007,AK0007,BIG LAKE PUBLIC LIBRARY,WASILLA,AK,99623,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0008,AK0008,CANTWELL COMMUNITY LIBRARY,CANTWELL,AK,99729,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0011,AK0011,CHINIAK PUBLIC LIBRARY,CHINIAK,AK,99615,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0014,AK0014,COLD BAY PUBLIC LIBRARY,COLD BAY,AK,99571,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0015,AK0015,COOPER LANDING COMMUNITY LIBRARY,COOPER LANDING,AK,99572,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0016,AK0016,CORDOVA PUBLIC LIBRARY,CORDOVA,AK,99574,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0017,AK0017,CRAIG PUBLIC LIBRARY,CRAIG,AK,99921,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0019,AK0019,DELTA COMMUNITY LIBRARY,DELTA JUNCTION,AK,99737,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0020,AK0020,DILLINGHAM PUBLIC LIBRARY,DILLINGHAM,AK,99576,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0021,AK0021,EAGLE PUBLIC LIBRARY,EAGLE,AK,99738,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0023,AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,FAIRBANKS,AK,99701,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0025,AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,GALENA,AK,99741,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0027,AK0027,COPPER VALLEY COMMUNITY LIBRARY,GLENNALLEN,AK,99588,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0028,AK0028,GUSTAVUS PUBLIC LIBRARY,GUSTAVUS,AK,99826,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0029,AK0029,HAINES BOROUGH PUBLIC LIBRARY,HAINES,AK,99827,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0030,AK0030,TRI-VALLEY COMMUNITY LIBRARY,HEALY,AK,99743,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0031,AK0031,HOLLIS PUBLIC LIBRARY,HOLLIS,AK,99950,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
AK0032,AK0032,HOMER PUBLIC LIBRARY,HOMER,AK,99603,https://library.alaska.gov/,STATE_LIBRARY_HOME_HANDOFF,indirect,PUBLIC_USE,2026-09-12
