fscskey,fscs_seq,libname,city,state,zip,lat,lon,outlet_type
AK0001,002,ANCHOR POINT PUBLIC LIBRARY,ANCHOR POINT,AK,99556,59.77967834,-151.8318329,CE
AK0002,007,CHUGIAK-EAGLE RIVER LIBRARY,EAGLE RIVER,AK,99577,61.32976527,-149.5700226,BR
AK0002,008,MULDOON LIBRARY,ANCHORAGE,AK,99504,61.21066283,-149.7333374,BR
AK0002,010,SCOTT AND WESLEY GERRISH LIBRARY,GIRDWOOD,AK,99587,60.95988467,-149.1354676,BR
AK0002,011,Z. J. LOUSSAC LIBRARY,ANCHORAGE,AK,99503,61.18744655,-149.8768005,CE
AK0002,012,MOUNTAIN VIEW LIBRARY,ANCHORAGE,AK,99508,61.22298046,-149.8085328,BR
AK0006,002,KUSKOKWIM CONSORTIUM LIBRARY,BETHEL,AK,99559,60.7908797,-161.7721323,CE
AK0007,002,BIG LAKE PUBLIC LIBRARY,BIG LAKE,AK,99652,61.54755017,-149.8186341,CE
AK0008,002,CANTWELL COMMUNITY LIBRARY,CANTWELL,AK,99729,63.3883675,-148.9049857,CE
AK0011,002,CHINIAK PUBLIC LIBRARY,CHINIAK,AK,99615,57.61217753,-152.2346238,CE
AK0014,002,COLD BAY PUBLIC LIBRARY,COLD BAY,AK,99571,55.2071771,-162.7142967,CE
AK0015,002,COOPER LANDING COMMUNITY LIBRARY,COOPER LANDING,AK,99572,60.494049,-149.8235931,CE
AK0016,002,CORDOVA PUBLIC LIBRARY,CORDOVA,AK,99574,60.54717529,-145.759041,CE
AK0017,003,CRAIG PUBLIC LIBRARY,CRAIG,AK,99921,55.47610693,-133.151374,CE
AK0019,002,DELTA COMMUNITY LIBRARY,DELTA JUNCTION,AK,99737,64.04679531,-145.7345961,CE
AK0020,002,DILLINGHAM PUBLIC LIBRARY,DILLINGHAM,AK,99576,59.0406342,-158.4648132,CE
AK0021,002,EAGLE PUBLIC LIBRARY,EAGLE,AK,99738,64.786619,-141.201518,CE
AK0023,002,BOOKMOBILE,FAIRBANKS,AK,99701,64.83882905,-147.7381745,BS
AK0023,003,NORTH POLE BRANCH LIBRARY,NORTH POLE,AK,99705,64.7485856,-147.3732362,BR
AK0023,004,FAIRBANKS NORTH STAR PUBLIC LIBRARY,FAIRBANKS,AK,99701,64.83882905,-147.7381745,CE
AK0025,002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,GALENA,AK,99741,64.74797525,-156.872446,CE
AK0027,002,COPPER VALLEY COMMUNITY LIBRARY,GLENNALLEN,AK,99588,62.1082566,-145.5305029,CE
AK0028,002,GUSTAVUS PUBLIC LIBRARY,GUSTAVUS,AK,99826,58.42054047,-135.7064969,CE
AK0029,002,HAINES BOROUGH PUBLIC LIBRARY,HAINES,AK,99827,59.23388673,-135.4477234,CE
AK0030,002,TRI-VALLEY COMMUNITY LIBRARY,HEALY,AK,99743,63.87353805,-149.0182473,CE
AK0031,002,HOLLIS PUBLIC LIBRARY,HOLLIS,AK,99950,55.4825666,-132.6477616,CE
AK0032,002,HOMER PUBLIC LIBRARY,HOMER,AK,99603,59.64345171,-151.5308838,CE
AK0033,002,HOPE COMMUNITY LIBRARY,HOPE,AK,99605,60.9186706,-149.6412964,CE
AK0035,002,DOUGLAS PUBLIC LIBRARY,DOUGLAS,AK,99824,58.27677539,-134.3951111,BR
AK0035,003,MENDENHALL VALLEY PUBLIC LIBRARY,JUNEAU,AK,99801,58.37795264,-134.5889588,BR
AK0035,004,DOWNTOWN PUBLIC LIBRARY,JUNEAU,AK,99801,58.2984924,-134.4039459,CE
AK0038,002,KENAI COMMUNITY LIBRARY,KENAI,AK,99611,60.5593719,-151.2471924,CE
