input_zip,route_class,fscskey,fscs_seq,distance_km,routing_basis,confidence_note
00501,OBSERVED_REFERENCE_INDIRECT_ONLY,,,,INDIRECT_IMLS_SC;NO_FABRICATED_NEAREST,INDIRECT_IMLS_SC;NO_FABRICATED_NEAREST;NOT_REJECTED;NOT_USPS_VALIDITY;NO_INVENTORY
00601,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1607.896,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00602,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1558.992,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00603,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1558.135,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00606,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1592.659,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00610,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1567.385,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00611,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1597.244,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00612,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1599.690,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00616,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1601.424,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00617,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1610.082,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00622,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1582.218,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00623,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1576.652,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00624,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1617.869,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00627,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1584.401,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00631,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1600.387,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00636,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1579.080,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00637,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1595.838,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00638,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1623.760,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00641,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1607.277,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00646,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1635.587,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00647,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1602.753,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00650,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1613.966,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00652,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1606.982,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00653,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1605.355,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00656,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1612.411,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00659,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1589.668,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
00660,ZCTA_NEAREST_ACTIVE_OUTLET,FL0048,003,1577.523,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
